transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
J1742312	75.8414384747863	-0.0244658956303486	0.138656396978866	-0.176449815251421	0.859940571630554	0.900432995643845
J1742401	157.774614055169	-0.0433145704872648	0.165432714365355	-0.261825907006551	0.793455664713071	0.848793118027175
J1742410	47.2546720159863	0.342041929674878	0.234705280751303	1.45732524031835	0.145026622722515	0.21993292160441
J1742601	68.7676438334632	0.555092037643233	0.188217084720536	2.94921174912167	0.00318585610985911	0.00758700431637432
J1742648	10.7944401038563	-0.232719017302561	0.495084529649097	-0.470059158316875	0.638312752454747	0.722683417777719
J1742729	397.180117204047	0.788219819493798	0.0946119186760195	8.33108376327201	8.01056265454714e-17	1.05846234542083e-15
J1742732	2283.33793271512	-1.45452365598094	0.341891188216665	-4.25434672232376	2.09660218074442e-05	7.8029530910707e-05
J1742828	123.969929586906	0.691032841136422	0.279860653019555	2.46920327556063	0.0135414270855831	0.027680961721305
J1742900	51.8304132195822	-0.672024721324944	0.283324229053311	-2.37192817419966	0.0176955302816551	0.0350390254286998
J1742949	33.0439133589327	-2.09098685524603	0.914035802844206	-2.28764217850056	0.0221583674979054	0.0428267336877604
J1743005	53.0464630443444	2.45856204846947	2.29637468553092	1.07062756960372	0.284336922003492	0.383711750338993
J1743019	12.2278664829266	0.208804763484656	0.265735717534791	0.785761001274956	0.432007517991829	0.534249219119296
J1743542	67.8727477216917	1.400028308432	0.135724029418715	10.3152574708259	6.0119949508953e-25	1.36214116218446e-23
J1743619	227.306613714383	-0.678707608221393	0.120945721344336	-5.61167109243238	2.00382031941315e-08	1.17441698483888e-07
J1743668	153.383914260295	0.241140391351902	0.24186166878242	0.997017810080658	0.318755865126761	0.420182229700069
J1743788	6.22977736934142	1.64077268296086	0.577073547031538	2.84326441820281	0.00446540071938906	0.0102745688064844
J1743939	141.21451144915	-0.0775301850376428	0.113239882559415	-0.684654410489733	0.493562023700089	0.593091480714684
J1744082	18.8460201899207	-1.65845140660947	0.311732151551159	-5.32011663974062	1.03700745582427e-07	5.50839220242429e-07
J1744155	8.78927797019388	0.499037141315159	0.321494714454846	1.55224057776928	0.120604670199812	0.188013285538904
J1744167	10.0795252517615	0.452137262686818	0.664962766628727	0.679943728246761	0.496540092064787	0.595916086690853
J1744310	266.555334178069	0.266260931215004	0.125813530152244	2.11631396792386	0.0343181135587714	0.0630054581027044
J1744648	417.496719604075	0.819825748055178	0.313796986223397	2.61259917732777	0.0089856616830571	0.0192003549959614
J1744662	46.0613184713475	-0.589240093557946	0.396877742549897	-1.48468918859531	0.137626176970359	0.210446360639031
J1744694	8.89031024641625	0.353575728485191	0.433378105893563	0.81585969313371	0.414580387562978	0.517187388414589
J1744835	174.792184984873	-1.18582791193537	0.297504162075554	-3.9859204108688	6.72190427350149e-05	0.000227419272830517
J1744987	200.183863842939	-0.43911609404363	0.310006797059907	-1.41647247159801	0.156637218496988	0.234528813059309
J1745044	3.9246262192247	1.67185246700513	0.834978981510465	2.00226892415996	0.0452558163420854	0.0803548977085887
J1745295	179.07432188817	0.245580890955057	0.388454094895025	0.632200546171156	0.527255840480234	0.624752670621022
J1745307	126.714782686571	-0.0115848930840929	0.397605840547137	-0.0291366270378503	0.976755624037665	0.984182438384267
J1745315	220.271660497436	0.529525154844518	0.248585730632001	2.13015104888869	0.0331591449187347	0.0611832259477634
J1745401	8.30650486785784	-2.1711921116939	0.819358240659674	-2.64986913409921	0.0080522954391709	0.017398423542044
J1745700	57.6529476517169	-0.928233125943041	0.800793724252784	-1.15914135916733	0.246398569629826	0.341637866493336
J1745847	13.6197537694327	-0.0837134548434315	0.385582942529696	-0.217108812682979	0.828123546237111	0.875645759388684
J1745882	42.5914431447362	-0.603244119181844	0.172608041002149	-3.49487842906654	0.000474277730113119	0.00135449345977551
J1745885	135.905628578569	2.47336449371708	0.483870319110758	5.11162680584035	3.19396318946325e-07	1.59369533663389e-06
J1746009	70.3266661886261	-0.0388752810375909	0.138019723156783	-0.281664679137421	0.77820064029804	0.836557430284074
J1746081	5.84735682760773	0.32804059384585	0.301517010685967	1.08796712032777	0.276609622919244	0.37517186166012
J1746816	131.40492360195	-0.319852123993128	0.244036733612628	-1.31067204210677	0.189968588162662	0.275530005090141
J1747016	48.5282617831522	-0.148532734266888	0.222536018908467	-0.667454801229199	0.504481671379336	0.603603713162688
J1747110	15.1691351070263	3.31051326436293	0.343015575579999	9.65120391039163	4.85819834224978e-22	9.16663202110093e-21
J1747132	45.6127154720249	-0.280769689509824	0.528399109452949	-0.531359127006298	0.595169939471738	0.685655755468241
J1747227	129.010835614611	-0.145277291070731	0.110634876042403	-1.31312382015099	0.189141228492679	0.27459210325055
